title,author,average_rating,number_of_ratings,genres
Love You Forever,Robert Munsch,4.37,"229,611","['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Family', 'Love', 'Kids']"
Bridge to Terabithia,Katherine Paterson,4.04,"520,790","['Fiction', 'Young Adult', 'Classics', 'Fantasy', 'Childrens', 'Middle Grade', 'Realistic Fiction']"
A Prayer for Owen Meany,John Irving,4.24,"311,240","['Fiction', 'Classics', 'Contemporary', 'Literature', 'Literary Fiction', 'Novels', 'Historical Fiction']"
The Road,Cormac McCarthy,3.98,"841,460","['Fiction', 'Science Fiction', 'Dystopia', 'Post Apocalyptic', 'Classics', 'Horror', 'Literature']"
The Divine Comedy,Dante Alighieri,4.07,"142,836","['Classics', 'Poetry', 'Fiction', 'Literature', 'Philosophy', 'Religion', 'Fantasy']"
A Midsummer Night's Dream,William Shakespeare,3.95,"514,842","['Classics', 'Plays', 'Fiction', 'Fantasy', 'Drama', 'School', 'Romance']"
A Story of Yesterday,Sergio Cobo,4.6,"11,383","['Spanish Literature', 'Thriller', 'European Literature', 'Mystery', 'Magical Realism', 'Fiction', 'Drama']"
The Prophet,Kahlil Gibran,4.23,"282,324","['Poetry', 'Classics', 'Philosophy', 'Fiction', 'Spirituality', 'Religion', 'Literature']"
Persuasion,Jane Austen,4.15,"653,638","['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Audiobook']"
The Name of the Rose,Umberto Eco,4.13,"348,052","['Fiction', 'Historical Fiction', 'Mystery', 'Classics', 'Historical', 'Literature', 'Italian Literature']"
"The Three Musketeers (The D'Artagnan Romances, #1)",Alexandre Dumas,4.09,"311,038","['Classics', 'Fiction', 'Historical Fiction', 'Adventure', 'France', 'Literature', 'Historical']"
Water for Elephants,Sara Gruen,4.1,"1,557,093","['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary']"
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.01,"1,465,955","['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Adventure', 'Middle Grade', 'Science Fiction']"
The Boy in the Striped Pajamas,John Boyne,4.15,"748,052","['Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'Holocaust', 'War']"
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,4.33,"731,140","['Historical Fiction', 'Fiction', 'Historical', 'Fantasy', 'Classics', 'Medieval', 'Audiobook']"
How the Grinch Stole Christmas!,Dr. Seuss,4.37,"393,244","['Childrens', 'Picture Books', 'Christmas', 'Classics', 'Fiction', 'Poetry', 'Fantasy']"
Jonathan Livingston Seagull,Richard Bach,3.85,"240,015","['Fiction', 'Classics', 'Philosophy', 'Fantasy', 'Spirituality', 'Inspirational', 'Self Help']"
Oliver Twist,Charles Dickens,3.88,"370,322","['Classics', 'Fiction', 'Historical Fiction', 'Literature', '19th Century', 'Novels', 'Classic Literature']"
The Secret Life of Bees,Sue Monk Kidd,4.08,"1,248,114","['Fiction', 'Historical Fiction', 'Young Adult', 'Classics', 'Historical', 'Contemporary', 'Adult Fiction']"
"The Notebook (The Notebook, #1)",Nicholas Sparks,4.14,"1,596,089","['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Adult Fiction', 'Classics']"
